title,lyrics
Ghosts,"There's a ghost out in the hall
There's a ghoul up under the bed
There's something in the walls
There's blood up on the stairs
And it's floating through the room
And there's nothing I can see
And I know it's fled its tomb
Because now it's haunting me
I don't understand it
Hey
I don't understand it
Ow!

There's a thumping in the floor
There's a creak behind the door
There's a rocking in the chair
But there's no one sitting there
There's a ghostly smell around
But nobody to be found
And a coffin inlay open
Where a restless soul is spoiling
I don't understand it

Got a ghost, got a break in the walls (Hey)
Got a ghoul, got a break in the halls
Gotta see it, won't ya? (Don't understand it)
Got a ghost, got a break in the walls
Got a ghoul, got a break in the halls
Gotta see it, won't ya?
Got a ghost, got a break in the walls
Got a ghoul, got a break in the halls
Gotta see it, won't ya? (I'm sayin')
Got a ghost, got a break in the walls
Got a ghoul, got a break in the halls, gotta see it (I said)

And who gave you the right to scare my family?
And who gave you the right to scare my baby? She needs me
And who gave you the right to shake my family tree?

You put a knife in my back, shot an arrow in me
Tell me, are you the ghost of jealousy?
The ghost of jealousy

There's a thumping in the floor
There's a creak behind the door
There's a rocking in the chair
But nobody's sitting there
There's a ghostly smell around
But nobody to be found
And a coffin inlay open
Where a restless soul is spoiling
Don't understand it

Got a ghost, got a break in the walls (Yeah, yeah)
Got a ghoul, got a break in the halls
Gotta see it, won't ya? (Don't understand it)
Got a ghost, got a break in the walls
Got a ghoul, got a break in the halls
Gotta see it, won't ya? (You just a doggone)
Got a ghost, got a break in the walls (Ow!)
Got a ghoul, got a break in the halls
Gotta see it, won't ya?
Got a ghost, got a break in the walls
Got a ghoul, got a break in the halls (I said)
Gotta see it

And who gave you the right to scare my family?
And who gave you the right to scare my baby? She needs me
And who gave you the right to shake my family tree?
And who gave you the right to take intrusion, to see me?
And who gave you the right to scare my family?
And who gave you the right to hurt my baby? She needs me
And who gave you the right to shake my family tree?

You put a knife in my back, shot an arrow in me
Tell me, are you the ghost of jealousy?
A suckin' ghost of jealousy
Ow!


And who gave you the right to scare my family?
And who gave you the right to scare my baby? She needs me
And who gave you the right to shake my family tree? (Hold on now)
And who gave you the right to take intrusion, to see me? (Didn't I, baby?)
And who gave you the right to scare my family? (You just a doggone, yeah, baby)
And who gave you the right to hurt my baby? She needs me (Yeah, my baby)
And who gave you the right to shake my family tree? (Hold on now)

You put a knife in my back, shot an arrow in me
Tell me, are you the ghost of jealousy?
The ghost of jealousy

Ow!
Doggone
But listen, try to find, a piece of mind
Tell me, are you the ghost of jealousy?"
Leave Me Alone,"Ow
Hoo-hoo

I don't care what you talkin' 'bout, baby
I don't care what you say
Don't you come walkin' beggin' back, mama
I don't care anyway
Time after time, I gave you all of my money
No excuses to make
Ain't no mountain that I can't climb, baby
All is goin' my way

'Cause there's a time when you're right
And you know you must fight
Who's laughin', baby? Don't you know?
And there's the choice that we make
And this choice you will take
Who's laughin', baby?

So just leave me alone, girl
(Leave me alone, leave me alone)
Leave me alone, leave me alone, girl
(Leave me alone, leave me alone, leave me alone)
Leave me alone (Leave me alone)
Stop it, just stop doggin' me around

Hee-hee, hoo-hoo

There was a time I used to say, ""Girl, I need you""
But who is sorry now?
You really hurt, you used to take and deceive me
Now, who is sorry now?
You got a way of makin' me feel so sorry
I found out right away
Don't you come walkin', beggin', I ain’t lovin' you
Don't you get in my way

'Cause there's a time when you're right
And you know you must fight
Who's laughin', baby? Don't you know?
And there's the choice that we make
And this choice you will take
Who's laughin', baby?

So just leave me alone, girl
(Leave me alone, leave me alone)
Leave me alone, leave me alone, girl
(Leave me alone, leave me alone, leave me alone)
Leave me alone (Leave me alone)
Stop it, just stop doggin' me around

Hee-hee, hoo-hoo
Ow

Da-da-da-da
Da-da-da-da
Da-da-da-da
Da-da-da-da-da, da-da, da-da
Da-da-da-da-da
Da-da-da-da
Da-da-da-da
Da-da-da-da-da-da, da-da, da-da
Da-da-da-da-da, da-da
Da-da-da-da
Da-da-da, da

'Cause there's a time when you're right
And you know you must fight
Who's laughin', baby? Don't you know, girl?
There's the choice that we make (Stop it, baby)
And this choice you will take (Stop it, baby)
Who's laughin', baby?

So just leave me alone, girl
(Leave me alone, leave me alone)
Leave me alone, leave me alone, girl
(Leave me alone, leave me alone, leave me alone)
Leave me alone (Leave me alone)
Stop it, just stop doggin' me
Leave me alone, girl
(Leave me alone, leave me alone)
Leave me alone, leave me alone, girl
(Leave me alone, leave me alone, leave me alone)
Leave me alone (Leave me alone)
Stop it, just stop doggin' me around

Hee-hee, hoo-hoo

Don't come beggin' me
Don't come beggin'
Don't come lovin' me
Don't come beggin'
I love you
I don't want it
I don't, I don't, I don't, I, I, I, I, ow
Hee-hee, hee-hee
Don't come beggin' me
Don't come beggin'
Don't come lovin' me
Don't come beggin'
I love you
I don't want it
I don't need it
I don't—"
I Just Can’t Stop Loving You,"Each time the wind blows
I hear your voice so I call your name
Whispers at morning, our love is dawning
Heaven's glad you came
You know how I feel, this thing can't go wrong
I'm so proud to say I love you
Your love's got me high, I long to get by
This time is forever, love is the answer
I hear your voice now
You are my choice now, the love you bring
Heaven's in my heart
At your call, I hear harps and angels sing
You know how I feel, this thing can't go wrong
I can't live my life without you
I just can't hold on, I feel we belong
My life ain't worth living if I can't be with you

I just can't stop loving you
I just can't stop loving you
And if I stop
Then tell me just what will I do
'Cause I just can't stop loving you

At night when the stars shine
I pray in you I'll find a love so true (Mmm)
When morning awakes me, will you come and take me?
I'll wait for you
You know how I feel (
Ah
), I won't stop until
I hear your voice saying, ""I do"" (
I do
)
This thing can't go wrong, this feeling's so strong
Well, my life ain't worth living if I can't be with you

I just can't stop loving you (Woah-oh)
I just can't stop loving you (If I stop)
And if I stop (Uh-huh)
Then tell me just what will I do (Woah-oh)
I just can't stop loving you

We can change all the world tomorrow
We can sing songs of yesterday
I can say, ""Hey, farewell"" to sorrow
This is my life and I want to see you for always

I just can't stop loving you (No, baby, oh)
I just can't stop loving you (If I can't stop)
And if I stop (Oh, oh)
Then tell me just what will I do (Oh, oh, what will I do?)
I just can't stop loving you (Hee-hee-hee, love you, girl)
I just can't stop loving you (I know I do)
And if I stop (Oh, oh, oh)
Then tell me just what will I do"
Ben,"Ben, the two of us need look no more
We both found what we were looking for
With a friend to call my own
I'll never be alone
And you, my friend, will see
You've got a friend in me
(You've got a friend in me)

Ben, you're always running here and there
(Here and there)
You feel you're not wanted anywhere
(Anywhere)
If you ever look behind
And don't like what you find
There's something you should know
You've got a place to go
(You've got a place to go)

I used to say ""I"" and ""me""
Now, it's ""us"", now, it's ""we""
(I used to say ""I"" and ""me"")
(Now, it's ""us"", now, it's ""we"")

Ben, most people would turn you away (Turn you away)
I don't listen to a word they say (A word they say)
They don't see you as I do
I wish they would try to
I'm sure they'd think again
If they had a friend like Ben

(A friend)
Like Ben
(Like Ben)
Like Ben"
Blood on the Dance Floor,"Ah, she got your number, ah. she know your game, ah
She put you under, ah, it's so insane, ah
Since you seduced her, ah, how does it feel, ah
To know that woman, ah, is out to kill?

Every night stance is like taking a chance
It's not about love and romance
And now, you're going to get it
Ah, every hot man is out taking a chance
It's not about love and romance
And now, you do regret it

To escape the world, I've got to enjoy that simple dance
And it seemed that everything was on my side (Blood on my side)
She seemed sincere like it was love and true romance
And now, she's out to get me
But I just can't take it, just can't break it

Susie got your number, and Susie ain’t your friend
Look who took you under with seven inches in
Blood is on the dance floor, blood is on the knife
Susie got your number and Susie says it right

She got your number, ah, how does it feel, ah
To know this stranger, ah, is about to kill?
Ah, she got your baby, ah, it happened fast, ah
If you could only, ah, erase the past, ah

Every night stance is like taking a chance
It's not about love and romance
And now, you're going to get it
Ah, every hot man is out taking a chance
It's not about love and romance
And now, you do regret it

To escape the world, I've got to enjoy that simple dance
And it seemed that everything was on my side (Blood on my side)
It seemed sincere while it was love and true romance
And now, she's out to get me
But I just can't take it, just can't break it

Susie got your number, and Susie ain’t your friend
Look who took you under with seven inches in
Blood is on the dance floor, blood is on the knife
Susie got your number, you know Susie says it right (Hoo-hoo!)
Susie got your number, Susie ain’t your friend
(Ah, it's goin' down, baby)
Look who took you under with seven inches in (She's stuck seven inches in)
Blood is on the dance floor, blood is on the knife (It's goin' down, baby, ah)
Susie got your number, and Susie says it's right

It was blood on the dance floor (Ooh, blood on the dance floor)
It was blood on the dance floor (Ooh, blood on the dance floor)
It was blood on the dance floor (Ooh, blood on the dance floor)
It was blood on the dance floor (Ooh, blood on the dance floor)
And I just can't take it, the girl won't break it
Hoo!"
She’s Out of My Life,"She's out of my life
She's out of my life
And I don't know whether to laugh or cry
I don't know whether to live or die
And it cuts like a knife
She's out of my life

It's out of my hands
It's out of my hands
To think for two years, she was here
And I took her for granted, I was so cavalier
Now, the way that it stands
She's out of my hands

So, I've learned that love's not possession
And I've learned that love won't wait
Now, I've learned that love needs expression
But, I've learned too late

And she's out of my life
She's out of my life
Damned indecision and cursed pride
Kept my love for her locked deep inside!
And it cuts like a knife
She's out of my life"
Give In to Me,"She always takes it with a heart of stone
'Cause all she does is throws it back to me
I've spent a lifetime looking for someone

Don't try to understand me
Just simply do the things I say

Love is a feeling
Give it when I want it
'Cause I'm on fire
Quench my desire
Give it when I want it
Talk to me, woman
Give in to me
Give in to me

You always knew just how to make me cry
And never did I ask you questions why
It seems you get your kicks from hurting me

Don't try to understand me
Because your words just aren't enough

Love is a feeling
Quench my desire
Give it when I want it
Takin' me higher
Love is a woman
I don't wanna hear it
Give in to me
Give in to me

You and your friends were laughin' at me in time
But it's okay, yeah, that's okay
You won't be laughin', girl, when I'm not around
I'll be okay, and I, I better fight
Gotta, for peace of mind, oh


Don't try to tell me
Because your words just aren't enough

Love is a feeling
Quench my desire
Give it when I want it
Takin' me higher
Talk to me, woman
Love is a feeling
Give in to me
Give in to me
Give in to me, ah
Oh, love is a feeling
I don't wanna hear it
Quench my desire
Takin' me higher
Tell it to the preacher
Satisfy the feeling
Give in to me
Give in to me


I don't wanna, I don't wanna
I don't wanna hear it
Give in to the fire
Talk to me, woman
Quench my desire
I'd like a lady
Talk to me, baby
Give in to me

Give in to the fire
Give in to me
Give in to me
Give in to me
Love is a woman
Give in to me
Give in to me
Give in to me
Give in to me
'Cause I'm on fire
Talk to me, woman
Quench my desire
Give in to the feeling"
Butterflies,"(Butterflies)
Da de-de-da
Da de-de-da, da de-de-da
Da de-de-da, da-da
(La-la-aa-ah)
Da de -de -da, da de -de-da
Da de-de-da de-de-da
(Oh, I, oh, I)
Da de-de de-da, lda de-da-dum
Da de -de -de -da, da-dum, da-dum, da-dum
Butterflies inside

All you got to do is walk away and pass me by
Don't acknowledge my smile
When I try to say hello to you, yeah
And all you gotta do is not answer my call
When I'm tryna get through
Keep me wonderin' why when all I can do is sigh
I just wanna touch you

I just wanna touch and kiss
And I wish that I could be with you tonight (You give me)
'Cause you give me butterflies
Inside, inside and I

All I got to say is that I must be dreamin', it can't be real
You're not here with me
See, but I can feel you near to me, yeah
I caress you, let you taste us, just so blissful listen
I would give you anything, baby
Just make my dreams come true
Oh, baby, you give me butterflies

I just wanna touch and kiss
And I wish that I could be with you tonight (You give me)
Ah, 'cause you give me butterflies
Inside, inside and I
I just wanna touch and kiss
And I wish that I could be with you tonight (You give me)
Ah, 'cause you give me butterflies
Inside, inside and I

If you will take my hand, baby, I will show you
Guide you to the light, then
If you will be my love, baby, I will love you
Love you 'til the end of time

I just wanna touch and kiss
And I wish that I could be with you tonight (Girl, you give me)
Ah, you give me butterflies
Inside, inside and I (I just wanna touch you)
I just wanna touch and kiss (I wanna, I wanna, be with you, girl)
And I wish that I could be with you tonight (
Talk to me, baby
) (
Inside
)
Ah, you give me butterflies
Inside, inside and I
I just wanna touch and kiss (I wanna touch you)
And I wish that I could be with you tonight (Butterflies)
Ah, you give me butterflies
Inside, inside and I
I just wanna touch and kiss
And I wish that I could be with you tonight
Ah, you give me butterflies
Inside, inside and I
I just wanna touch and kiss (I wanna, I wanna, be with you, girl)
And I wish that I could be with you tonight (Wanna be with you) (You give me)
Ah, you give me butterflies
Inside, inside and I"
Unbreakable,"Ayy, yeah, ah

Now I'm just wondering why you think
That you can get to me with anything?
Seems like you'd know, by now, when and how I get down
And with all that I've been through, I'm still around

Don't you ever make no mistake, baby, I got what it takes
And there's no way you'll ever get me (Come on, now)
And why can't you see that you'll never ever hurt me?
'Cause I won't let it be
See, I'm too much for you, baby (Take on)

You can't believe it, you can't conceive it
And you can't touch me, 'cause I'm untouchable
And I know you hate it, and you can't take it
You'll never break me, 'cause I'm unbreakable

Doo, doo, dah
Oh, ah, well

Now, you can't stop me, even though you think
That if you block me, you've done your thing
And when you bury me underneath all your pain
I'm steady laughing, ha, while surfacing

Don't you ever make no mistake, baby, I've got what it takes (Yeah)
And there's no way you'll ever get me (You can't do it, baby)
Why can't you see that you'll never ever hurt me? (Come on)
'Cause I won't let it be, see, I'm too much for you, baby
(I'm too much for you, baby)

You can't believe it, you can't conceive it
And you can't touch me 'cause I'm untouchable
And I know you hate it, and you can't take it
You'll never break me (You can't break me), 'cause I'm unbreakable
You can't believe it (I'm unbreakable), you can't conceive it
And you can't touch me (You can't touch me), 'cause I'm untouchable (Why do you do it, baby?)
And I know you hate it (Come on, now), and you can't take it (Yeah)
You'll never break me—
You can't stand it because I'm unbreakable

You can try to stop me, but it won't do a thing
No matter what you do, I'm still gonna be here (Be here)
Through all your lies and silly games, I'ma still remain the same
I'm (
Uh, uh
) unbreakable (
What? Uh
)

A lime to a lemon, my D.C. women
Bringing in ten G minimums to condos with elevators in 'em
Vehicles with televisions in 'em
Watch they entourage turn yours to just mirages
Disappearing acts, strictly .9's and MAC's
Killers be serial, Copperfield material
My dreams is vivid, work hard to live it
Any place I visit, I got land there
How can players stand there and say I sound like them? Hello
Push wigs back and push six Coupes that's yellow
Plus clips that expand from hand to elbow
Spray up your Day's Inn, any telly you in
Crack baggin', sick of braggin' how my mink be draggin'
Desert E's, street sweepers inside the Beamer wagon
I rely on Bed-Stuy to shut it down if I die
Put that on my diamond bezel, you're messing with the devil, what?

You can't believe it, you can't conceive it (Yeah)
And you can't touch me, ah (I'm untouchable), 'cause I'm untouchable ('Cause I'm untouchable)
And I know you hate it, and you can't take it (Yeah)
You'll never break me (Yeah), 'cause I'm unbreakable (I'm unbreakable)
You can't believe it, you can't conceive it (You, you, you, you, you)
And you can't touch me, 'cause I'm untouchable
And I know you hate it (You hate it), and you can't take it (Ooh)
You'll never break me (I'm unbreakable), 'cause I'm unbreakable
You can't believe it, (Hoo, hoo, hoo), you can't conceive it
And you can't touch me (Yeah, ah), 'cause I'm untouchable
And I know you hate it (Why did you do it?), and you can't take it (Just why did you do it?)
You'll never break me—
You can't touch me, you can't break me
You can't stand it because I'm unbreakable

Aaow!
Gone"
Baby Be Mine,"I don't need no dreams when I'm by your side (Ooh)
Every moment takes me to paradise
Darlin', let me hold you
I'll warm you in my arms and melt your fears away
Show you all the magic that a perfect love can make
I need you night and day

So baby, be mine (Baby, you gotta be mine), ooh
And girl, I'll give you all I got to give
So baby, be my girl (All the time), ooh
And we can share this ecstasy
As long as we believe in love

(Ooh)
Ooh-ooh

I won't give you reason to change your mind
(I can't sit still, you thrill me, baby, be mine)
You are all the future that I desire
Girl, I need to hold you
Share my feelings in the heat of love's embrace
Show you all the passion burnin' in my heart today
It's never gonna fade

So baby, be mine (Baby, you gotta be mine), ooh
And girl, I'll give you all I got to give
So baby, be my girl (All the time), ooh
You're everything this world could be
The reason that I live, oh

Won't you stay with me until the morning sun?
I promise you now that the dawn will be different
Lady, can't you see that heaven's just begun?
It's living here inside our hearts

There'll be no more mountains for us to climb
(I can't be still, you thrill me, baby, be mine)
This will be a love lasting for all time
Girl, you got to hold me
We can touch the sky and light the darkest day
Hold me, only you and I can make sweet love this way
There's no more I can say

So baby, be mine (Baby, you gotta be mine)
(Tell me that you love me all the time)
And girl, I'll give you all I got to give (Say you're thinking of me)
So baby, be mine (Girl, be mine, all the time)
(Show me how it should be, hold me tight)
You're everything this world could be (Every night)
The reason that I live (It's alright, every night)

Baby, be my girl (Ooh)
(Baby, be mine, tell me that you love me all the time)
And girl, I'll give you all I got to give
(Say you're thinking of me, girl, be mine)
So baby, be mine, baby, be mine, ooh
(Show me how it should be, hold me tight)
You're everything this world could be to me
(Every night, it's alright)
C'mon, girl, c'mon, girl (Tell me that you love me all the time) Hoo! (Say you're thinking of me)
So baby, be mine (Show me how it should be)
You're everything this world could be to me
(Every night, it's alright)
C'mon, girl, c'mon, girl (Tell me that you love me)
Baby, be mine (Say you're thinking of me)
So baby, be mine, girl"
Money,"(Money)
(Money) Lie for it, spy for it
Kill for it, die for it

So you call it trust, but I say it's just
In the devil's game of greed and lust
They don't care, they'd do me for the money
They don't care, they use me for the money
So you go to church, read the holy word
In the scheme of life, it's all absurd
They don't care, they'd kill for the money
Do or dare, the thrill for the money
You're saluting the flag, your country trusts you
Now you're wearing a badge, you're called the ""Just Few""
And you're fighting the wars, a soldier must do
I'll never betray or deceive you, my friend, but

If you show me the cash, then I will take it (Ah)
If you tell me to cry, then I will fake it (Ah)
If you give me a hand, then I will shake it
You would do anything for money

Anything, anything (Ah), anything for money (Ah, ah)
Would lie for you, would die for you (Ah)
Even sell my soul to the devil
Anything, anything (Ah), anything for money (Ah, ah)
Would lie for you, would die for you (Ah)
Even sell my soul to the devil

Insurance? Where do your loyalties lie?
Is that your alibi? (Ah) I don't think so
You don't care, you'd do her for the money
Say it's fair, you sue her for the money
Want your pot of gold, need the Midas touch
Bet you sell your soul 'cause your god is such
You don't care, you kill for the money
Do or dare, the thrill for the money
Are you infected with the same disease of lust, gluttony and greed?
Then watch the ones with the biggest smiles, the idle jabbers
'Cause they're the backstabbers

If you know it's a lie, then you will swear it (Ah)
If you give it with guilt, then you will bear it (Ah)
If it's taking a chance, then you will dare it
You would do anything for money

Anything, anything (Ah), anything for money (Ah, ah)
Would lie for you, would die for you (Ah)
Even sell my soul to the devil
Anything, anything (Ah), anything for money (Ah, ah)
Would lie for you, would die for you (Ah)
Even sell my soul to the devil
Anything, anything (Hee, ah), anything for money (Ah, ah)
Would lie for you, would die for you (Ah)
Even sell my soul to the devil
Anything, anything (Hee, ah), anything for money (Ah, ah)
Would lie for you, would die for you (Ah)
Even sell my soul to the devil

You say you wouldn't do it for all the money in the world
I don't think so
If you show me the man, then I will sell him
If you ask me to lie, then I will tell him
If it's dealing with God, then you will hell Him
You would do anything for money

Anything (Ah), anything for money
Would lie for you, would die for you (Ah)
Even sell my soul to the devil (Ah)
Anything, anything (Ah), anything for money (Ah, ah)
Would lie for you (If you want it, you can earn it with dignity), would die for you
Even sell my soul to the devil
Anything, anything (Vanderbilt, Morgan), anything for money (Trump)
Would lie for you, would die for you (Rockefeller)
Even sell my soul to the devil (Carnegie)
Anything, anything (Getty), anything for money (Getty)
Would lie for you, would die for you (Getty)
Even sell my soul to the devil (Getty, Getty, Getty!)
Anything, anything (Money makes the world go round)
Anything for money (Money makes the world go round)
Would lie for you (Money makes the world go round)
Would die for you (Don't sell it)
Even sell my soul to the devil (Money makes the world go round)
Anything, anything (Money makes the world go round)
Anything for money (Money makes the world go round)
Would lie for you (Money makes the world go round)
Would die for you
Even sell my soul to the devil (Money makes the world go round)
Anything (Money makes the world go round)
Anything for money (Money makes the world go round)
Would lie for you (Money makes the world go round)
Would die for you
Even sell my soul to the devil (Money makes the world go round)
Anything, anything
Anything for money (Money makes the world go round)
Would lie for you (Money makes the world go round)
Would die for you
Even sell my soul to the devil"
Speechless,"Your love is magical, that's how I feel
But I have not the words here to explain
Gone is the grace for expressions of passion
But there are worlds and worlds of ways to explain
To tell you how I feel, but I am

Speechless, speechless
That's how you make me feel
Though I'm with you
I am far away and nothing is for real

When I'm with you, I am lost for words
I don't know what to say
My head's spinning like a carousel
So silently, I pray

Helpless and hopeless, that's how I feel inside
Nothing's real, but all is possible if God is on my side
When I'm with you, I'm in the light where I can not be found
It's as though I am standing in the place called 'Hallowed Ground'

Speechless (Speechless), speechless (Speechless)
That's how you make me feel
Though I'm with you (Ooh)
I am far away and nothing is for real

I'd go anywhere and do anything
Just to touch your face
There's no mountain high I can not climb
I'm humbled in your grace

Speechless, speechless
That's how you make me feel
Though I'm with you
I am lost for words and nothing is for real
Speechless, speechless
That's how you make me feel
Though I'm with you
I am far away, and nothing is for real
Speechless, speechless
That's how you make me feel (You're always in my heart)
Though I'm with you
I am lost for words and nothing is for real
Speechless

Your love is magical, that's how I feel
But in your presence, I am lost for words
Words like... like, ""I love you"""
Love Never Felt So Good (Original Version),"One, two, three

Baby, love never felt so good
And I'd doubt if it ever could
Not like you hold me, hold me
Oh, baby, love never felt so fine
And I’d doubt if it's never mine
Not like you hold me, hold me

And the night is gonna be just fine
Gotta fly, gotta see
I can't wait, I can't take it

'Cause baby, every time I love you
In and out my life, in, out, baby
Tell me, if you really love me
It's in and out my life, in, out, baby
So baby, yes, love never felt so good

Oh, baby, love never felt so fine
And I’d doubt if it's ever mine
Not like you hold me, hold me
Oh, baby, love never felt so good
And I’d doubt if it ever could
Not like you hold me, hold me
In the night through the thick and thin
Gotta fly, gotta see, can't believe
I can't take it

'Cause baby, every time I love you
It’s in and out my life, in, out, baby
Tell me, if you really love me
It's in and out my life, driving me crazy
Baby, love never felt so good (Oh, good, uh-huh, uh-huh, mmm)

Oh, baby, love never felt so fine
And I’d doubt if it was mine, all mine
Not like you hold me, hold me
Oh, baby, love never felt so good, so good
And I’d doubt if it ever could
Not like you hold me, hold me

And the nights, that feels good
Gotta fly, gotta see
Can't believe
I can't take it

'Cause baby, every time I love you
It's in and out my life, in, out, baby
Tell me if you really love me
It's in and out my life, driving me crazy
'Cause baby, love never felt so good

Got what you got, so good
Oh, it never felt so good
Never felt so good
Don't you know, it never felt so good
Never felt so good (Yeah, yeah)
It never felt so good
Never felt so good (Yeah)
Alright, that's fine
That's it"
Break of Dawn,"Hold my hand, feel the touch of your body cling to mine
You and me, makin' love all way through another night
I remember you and I walking through the park at night
Kiss and touch, nothing much, let it blow, just touch and go
Love me more, never leave me alone by house of love
People talk, people say what we have is just a game
Oh, I'll never let you go, come here, girl
Just got to make sweet love 'til the break of dawn

I don't want the sun to shine, I wanna make love (Break of dawn)
Just this magic in your eyes and in my heart (Break of dawn)
I don't know what I'm gon' do, I can't stop lovin' you (It's the break of dawn)
I won't stop 'til break of dawn, makin' love

Hold my hand, feel the sweat, yes, you've got me nervous yet
Let me groove, let me soothe, let me take you on a cruise
There's imagination, I bet you've never been there before
Have you ever wanted to dream about those things you never known?

(Break of dawn, break of dawn)
There's no sun up in the sky
(Break of dawn, break of dawn)
I can see it in your eyes
(Break of dawn, break of dawn)
Girl, you got to understand
It's the way that I love you
Let me show you I'm your man
Break of dawn

I don't want the sun to shine, I wanna make love (It's the break of dawn)
Just this magic in your eyes and in my heart (It's the break of dawn)
I don't know what I'm gon' do, I can't stop lovin' you
I won't stop 'til break of dawn, makin' love (It's the break of dawn)
I don't want the sun to shine, I want to make love (I don't, no, no, it's the break of dawn)
Just this magic in your eyes and in my heart (Oh, it's the break of dawn)
I don't know what I'm gon' do, I can't stop lovin' you (Woo! Break of dawn)
I won't stop 'til break of dawn, makin' love (Oh)

Let's not wait, the sun is out, let's get up and let's get out
It's the day, a brand new day, let's both go outside and play
Let us walk down the park, makin' love 'til it's dark
Let me move, let me soothe
'Til the break of dawn and you know it's true, oh

I don't want the sun to shine, I wanna make love (Break of dawn)
Just this magic in your eyes and in my heart (Break of dawn)
I don't know what I'm gon' do, I can't stop lovin' you (It's the break of dawn)
I won't stop 'til break of dawn, makin' love (I don't wanna)
I don't want the sun to shine, I wanna make love (I don't know, I don't know, no, no, no, no, no)
Just this magic in your eyes and in my heart (It's the break of dawn)
I don't know what I’m gon' do, I can't stop lovin' you (No, no, no, It's the break of dawn)
I won't stop 'til break of dawn makin' love (Oh)
I don't want the sun to shine, I wanna make love (I don't want, I don't want, it's the break of dawn)
Just this magic in your eyes and in my heart (It's magic, it's, it's dawn)
I don't know what I'm gon' do, I can't stop lovin' you
(I don't know, no, no, the dawn)
I won't stop 'til break of dawn makin' love

Break of dawn"
Morphine,"He got flat, baby, kicked in the back, baby
A heart attack, baby, I hate your father
A hot fix, honey, he dug the ditch, baby
You make me sick, baby, so unreliable
I felt the swine, baby, all down the line, daddy
I hate your kind, baby, so unreliable
A hot buzz, baby, he want the buzz, baby
Another drug, baby, you don't deserve us

Trust in me, trust in me
Put all your trust in me
You're doin' morphine, hoo!

""You heard what the doctor said""
""First conclude—""
""I take it—""
""A matter pre—""
""That your mind is—""
""Hahaha""

He got a place, baby, kicked in the face, baby
He hate your race, baby, you're not the liar
You're every lick, baby, your dog's a bitch, baby
You make me sick, baby, you talk survival
She never cut from me, she never fuck, baby
I got to work, baby, you're just a rival
A razor blade, daddy, right up your leg, daddy
You're throwin' shade, daddy, so undesirable

Trust in me, just in me
Put all your trust in me
You're doin' morphine
Go on, baby

Relax, this won't hurt you
Before I put it in
Close your eyes and count to ten
Don't cry, I won't convert you
There's no need to dismay
Close your eyes and drift away

Demerol, Demerol
Oh God, he's taking Demerol
Demerol, Demerol
Oh God, he's taking Demerol

He's tryin' hard to convince her
To give more of what he had
Today, he wants it twice as bad
Don't cry, I won't resent you
Yesterday, you had his trust
Today, he's taking twice as much

Demerol, Demerol
Oh, God, he's taking Demerol, hee-hee
Demerol, Demerol
Oh my, he's got his Demerol
Hee-hee, hoo, ooh!

""You heard what the doctor said""
""First conclude—""
""I take it—""
""A matter pre—""
""That your mind is—""
""Hahaha""

He got shit, baby, your dog's a bitch, baby
You make me sick, baby, you are a liar
Is truth a game, daddy? Deep in the vein, baby
You're called a Saint, baby, you're so beloved

Trust in me, trust in me
Put all your trust in me
She doin' morphine, hoo!

You just sit around, just talkin' of it
You're takin' morphine, hoo! Go on, baby
You just sit around, just talkin' about it
You're takin' morphine, hoo-hoo
Just sit around, just talkin' nothin' about it
She takin' morphine, honey?
You just sit around, just talkin' about it
You're takin' morphine, hoo-hoo
You just sit around, just talkin' nothin'
And takin' morphine, hoo-hoo-hoo
Something's goin' down, baby, hoo
You're talkin' morphine, go on, baby
Hoo, hoo, morphine
Do it, hoo, keep takin' morphine
Morphine, morphine"
